Gene stable ID	Gene Symbol
ENSG00000000419	DPM1
ENSG00000000460	C1orf112
ENSG00000000938	FGR
ENSG00000001167	NFYA
ENSG00000001460	STPG1
ENSG00000001617	SEMA3F
ENSG00000001626	CFTR
ENSG00000002330	BAD
ENSG00000002549	LAP3
ENSG00000002587	HS3ST1
ENSG00000002726	AOC1
ENSG00000002822	MAD1L1
ENSG00000002834	LASP1
ENSG00000002919	SNX11
ENSG00000003056	M6PR
ENSG00000003147	ICA1
ENSG00000003249	DBNDD1
ENSG00000003400	CASP10
ENSG00000003402	CFLAR
ENSG00000003509	NDUFAF7
ENSG00000003756	RBM5
ENSG00000003987	MTMR7
ENSG00000003989	SLC7A2
ENSG00000004059	ARF5
ENSG00000004399	PLXND1
ENSG00000004455	AK2
ENSG00000004468	CD38
ENSG00000004478	FKBP4
ENSG00000004487	KDM1A
ENSG00000004534	RBM6
ENSG00000004660	CAMKK1
ENSG00000004766	VPS50
ENSG00000004776	HSPB6
ENSG00000004777	ARHGAP33
ENSG00000004866	ST7
ENSG00000004897	CDC27
ENSG00000004948	CALCR
ENSG00000004975	DVL2
ENSG00000005001	PRSS22
ENSG00000005007	UPF1
ENSG00000005073	HOXA11
ENSG00000005075	POLR2J
ENSG00000005187	ACSM3
ENSG00000005194	CIAPIN1
ENSG00000005206	SPPL2B
ENSG00000005238	FAM214B
ENSG00000005243	COPZ2
ENSG00000005249	PRKAR2B
ENSG00000005302	MSL3
ENSG00000005339	CREBBP
ENSG00000005448	WDR54
ENSG00000005469	CROT
ENSG00000005486	RHBDD2
ENSG00000005513	SOX8
ENSG00000005700	IBTK
ENSG00000005810	MYCBP2
ENSG00000005812	FBXL3
ENSG00000005844	ITGAL
ENSG00000005884	ITGA3
ENSG00000005893	LAMP2
ENSG00000005961	ITGA2B
ENSG00000006016	CRLF1
ENSG00000006025	OSBPL7
ENSG00000006062	MAP3K14
ENSG00000006071	ABCC8
ENSG00000006118	TMEM132A
ENSG00000006194	ZNF263
ENSG00000006210	CX3CL1
ENSG00000006282	SPATA20
ENSG00000006283	CACNA1G
ENSG00000006327	TNFRSF12A
ENSG00000006432	MAP3K9
ENSG00000006453	BAIAP2L1
ENSG00000006459	KDM7A
ENSG00000006576	PHTF2
ENSG00000006606	CCL26
ENSG00000006611	USH1C
ENSG00000006625	GGCT
ENSG00000006638	TBXA2R
ENSG00000006652	IFRD1
ENSG00000006704	GTF2IRD1
ENSG00000006712	PAF1
ENSG00000006744	ELAC2
ENSG00000006756	ARSD
ENSG00000006788	MYH13
ENSG00000006831	ADIPOR2
ENSG00000007038	PRSS21
ENSG00000007047	MARK4
ENSG00000007062	PROM1
ENSG00000007129	CEACAM21
ENSG00000007168	PAFAH1B1
ENSG00000007202	KIAA0100
ENSG00000007237	GAS7
ENSG00000007255	TRAPPC6A
ENSG00000007264	MATK
ENSG00000007306	CEACAM7
